OBJECTID,Id,Toponyms,Type,Period,StartDate,EndDate,Longitude,Latitude,LocQual,SizeHa,SizeQual,Source,Source_id,ORIG_FID
3445,1993, ,settlement,Republican Period,-200,-30,11.359999999999999,42.658018490000003,A,0.060000000000000,E,"Carandini et al. 2002, Catalogo:Fattoria Pomonte",FP 325,3444
3446,1993, ,settlement,Imperial  Period,-30,500,11.359999999999999,42.658018490000003,A,0.060000000000000,E,"Carandini et al. 2002, Catalogo:Fattoria Pomonte",FP 325,3445
3447,1994, ,settlement,Republican Period,-200,-30,11.390000000000001,42.667674190000000,A,0.030000000000000,E,"Carandini et al. 2002, Catalogo:Fattoria Pomonte",FP 350,3446
3448,1994, ,settlement,Imperial Period,-30,100,11.390000000000001,42.667674190000000,A,0.030000000000000,E,"Carandini et al. 2002, Catalogo:Fattoria Pomonte",FP 350,3447
3449,1995, ,settlement,Imperial Period,200,300,11.384000000000000,42.662842320000003,A,0.030000000000000,C,"Carandini et al. 2002, Catalogo:Fattoria Pomonte",FP 356,3448
3450,1996, ,settlement,Imperial Period,200,300,11.385999999999999,42.661634509999999,A,0.030000000000000,C,"Carandini et al. 2002, Catalogo:Fattoria Pomonte",FP 357,3449
3451,1997, ,settlement,Republican Period,-200,-50,11.391999999999999,42.661669470000000,A,0.500000000000000,C,"Carandini et al. 2002, Catalogo:Fattoria Pomonte",FP 358,3450
3452,1998, ,settlement,Republican Period,-300,-50,11.396000000000001,42.668176629999998,A,0.080000000000000,C,"Carandini et al. 2002, Catalogo:Fattoria Pomonte",FP 359,3451
3453,1999, ,settlement,Republican Period,-300,-50,11.391000000000000,42.661525159999997,A,0.030000000000000,C,"Carandini et al. 2002, Catalogo:Fattoria Pomonte",FP 360,3452
3454,2000, ,settlement,Republican Period,-300,-50,11.334000000000000,42.493855770000003,A,0.060000000000000,C,"Carandini et al. 2002, Catalogo:Capalbio",FP 58,3453
3455,2001,Cosa,settlement,Republican Period,-273,-30,11.288096839520000,42.413906367480003,A,13.500000000000000,E,ROMURBITAL database: n. 173, ,3454
3456,2001,Cosa,settlement,Imperial Period,-30,500,11.288096839520000,42.413906367480003,A,13.500000000000000,E,ROMURBITAL database: n. 173, ,3455
3457,2002,Grotta Lattaia,cave,Late Neolithic,-3500,-3000,11.888784110000000,42.957635519999997,A,0.100000000000000,F,Tabularium sito database,57,3456
3458,2003,Antro della Noce,cave,Late Neolithic,-3500,-3000,11.892991170000000,42.951406239999997,A,0.100000000000000,F,Tabularium sito database,58,3457
3459,2003,Antro della Noce,cave,Eneolithic,-3000,-2300,11.892991170000000,42.951406239999997,A,0.100000000000000,F,Tabularium sito database,58,3458
3460,2002,Grotta Lattaia,cave,Middle Neolithic,-4200,-3500,11.888784110000000,42.957635519999997,A,0.100000000000000,F,Tabularium sito database,57,3459
3461,2002,Grotta Lattaia,cave,Early Neolithic,-6000,-4200,11.888784110000000,42.957635519999997,A,0.100000000000000,F,Tabularium sito database,57,3460
3462,2002,Grotta Lattaia,cave,Early Bronze Age,-2300,-1750,11.888784110000000,42.957635519999997,A,0.100000000000000,F,Tabularium sito database,57,3461
3463,2002,Grotta Lattaia,cave,Middle Bronze Age,-1750,-1350,11.888784110000000,42.957635519999997,A,0.100000000000000,F,Tabularium sito database,57,3462
3464,2002,Grotta Lattaia,cave,Roman period,-300,500,11.888784110000000,42.957635519999997,A,0.100000000000000,F,Tabularium sito database,57,3463
3465,2002,Grotta Lattaia,cave,Late Bronze Age,-1350,-1000,11.888784110000000,42.957635519999997,A,0.100000000000000,F,Tabularium sito database,57,3464
3466,2003,Antro della Noce,cave,Middle Bronze Age,-1750,-1350,11.892991170000000,42.951406239999997,A,0.100000000000000,F,Tabularium sito database,58,3465
3467,2003,Antro della Noce,cave,Late Bronze Age,-1350,-1000,11.892991170000000,42.951406239999997,A,0.100000000000000,F,Tabularium sito database,58,3466
3468,2004,Grotta dell'Orso,cave,Middle Bronze Age,-1750,-1350,11.841412460000001,42.992183240000003,A,0.010000000000000,E,Tabularium sito database,60,3467
3469,2004,Grotta dell'Orso,cave,Middle Neolithic,-4200,-3500,11.841412460000001,42.992183240000003,A,0.010000000000000,E,Tabularium sito database,61,3468
3470,2004,Grotta dell'Orso,cave,Middle Neolithic,-4200,-3500,11.841412460000001,42.992183240000003,A,0.010000000000000,E,Tabularium sito database,61,3469
3471,2005,Tricolle,settlement,Eneolithic,-3000,-2300,10.805584030000000,43.733741979999998,A,0.100000000000000,F,Tabularium sito database,65,3470
3472,2006,Travalle,settlement,Late Neolithic,-3500,-3000,11.156751150000000,43.882207639999997,A,0.100000000000000,F,Tabularium sito database,67,3471
3473,2007,Podere Pietrino,settlement,Early Eneolithic,-3000,-2700,11.169403600000001,43.852517730000002,A,0.100000000000000,F,Tabularium sito database,68,3472
3474,2008,Morelli,settlement,Eneolithic,-3000,-2300,11.831245300000001,43.037051660000003,A,0.100000000000000,F,Tabularium sito database,69,3473
3475,2008,Morelli,settlement,Roman Period,-300,500,11.831245300000001,43.037051660000003,A,0.100000000000000,F,Tabularium sito database,69,3474
3476,2009,Mileto,settlement,Middle Neolithic,-4200,-3500,11.197297069999999,43.826747810000001,A,0.100000000000000,E,Tabularium sito database,71,3475
3477,2009,Mileto,settlement,Eneolithic,-3000,-2300,11.197297069999999,43.826747810000001,A,0.100000000000000,E,Tabularium sito database,71,3476
3478,2010,Via Leopardi,settlement,Eneolithic,-3000,-2300,11.185599540000000,43.840171339999998,A,0.100000000000000,E,Tabularium sito database,72,3477
3479,2011,Olmicino,settlement,Eneolithic,-3000,-2300,11.200062790000000,43.826541509999998,A,0.030000000000000,E,Tabularium sito database,73,3478
3480,2012,Volpaia,settlement,Eneolithic,-3000,-2300,11.174134349999999,43.840273089999997,A,0.070000000000000,E,Tabularium sito database,74,3479
3481,2012,Volpaia,settlement,Bronze Age,-2300,-1000,11.174134349999999,43.840273089999997,A,0.070000000000000,E,Tabularium sito database,74,3480
3482,2013,Podere della Gora 1,settlement,Eneolithic,-3000,-2300,11.181828220000000,43.840450519999997,A,0.100000000000000,F,Tabularium sito database,75,3481
3483,2014,Neto di Bolase,settlement,Late Neolithic,-3500,-3000,11.179780096900000,43.844251700000001,A,0.010000000000000,C,Tabularium sito database,76,3482
3484,2015,Neto-Via Verga,settlement,Late Neolithic,-3500,-3000,11.179446400000000,43.844727630000001,A,0.500000000000000,E,Tabularium sito database,77,3483
3485,2015,Neto-Via Verga,settlement,Eneolithic,-3000,-2300,11.179446400000000,43.844727630000001,A,0.500000000000000,E,Tabularium sito database,77,3484
3486,2016,Via Deledda,settlement,Late Neolithic,-3500,-3000,11.177577769999999,43.744409679999997,A,0.010000000000000,E,Tabularium sito database,78,3485
3487,2017,Grotta di Gosto,settlement,Eneolithic,-3000,-2300,11.892991170000000,42.951406239999997,A,0.100000000000000,F,Tabularium sito database,79,3486
3488,2018,Chiarentana,settlement,Late Neolithic,-3500,-3000,11.784441760000000,43.012385500000001,A,0.010000000000000,C,Tabularium sito database,80,3487
3489,2019,Grotta del Beato Benincasa,settlement,Middle Neolithic,-4200,-3500,11.727366090000000,43.077630229999997,A,0.003000000000000,E,Tabularium sito database,81,3488
3490,2019,Grotta del Beato Benincasa,settlement,Eneolithic,-3000,-2300,11.727366090000000,43.077630229999997,A,0.003000000000000,E,Tabularium sito database,81,3489
3491,2019,Grotta del Beato Benincasa,settlement,Middle Neolithic,-4200,-3500,11.727366090000000,43.077630229999997,A,0.003000000000000,E,Tabularium sito database,81,3490
3492,2020,Buca di S. Antimo,cave,Middle Neolithic,-3500,-3000,11.517194900000000,42.990844850000002,A,0.100000000000000,F,Tabularium sito database,83,3491
3493,2020,Buca di S. Antimo,cave,Middle Neolithic,-3500,-3000,11.517194900000000,42.990844850000002,A,0.100000000000000,F,Tabularium sito database,83,3492
3494,2021,Camigliano,tomb (4 bodies),Eneolithic,-3000,-2300,11.549137780000001,43.757753909999998,A,0.100000000000000,F,Tabularium sito database,84,3493
3495,2022,Ponte a Greve,settlement,Early Bronze,-2300,-1700,11.181682500000001,43.765362879999998,A,0.100000000000000,F,Tabularium sito database,85,3494
3496,2022,Ponte a Greve,settlement,Early Bronze,-1700,-1350,11.181682500000001,43.765362879999998,A,0.100000000000000,F,Tabularium sito database,85,3495
3497,2022,Ponte a Greve,settlement,Roman Period,-300,500,11.181682500000001,43.765362879999998,A,0.100000000000000,F,Tabularium sito database,85,3496
3498,2023,Buca del Leccio,settlement,Eneolithic,-3000,-2300,11.892825130000000,42.950636060000001,A,0.100000000000000,F,Tabularium sito database,87,3497
3499,2023,Buca del Leccio,settlement,Early Bronze Age,-2300,-1700,11.892825130000000,42.950636060000001,A,0.100000000000000,F,Tabularium sito database,87,3498
3500,2023,Buca del Leccio,settlement,Eneolithic,-3000,-2300,11.892825130000000,42.950636060000001,A,0.100000000000000,F,Tabularium sito database,87,3499
3501,2024,Coltano,settlement,Eneolithic,-3000,-2300,10.406170990000000,43.630751160000003,A,0.100000000000000,F,Tabularium sito database,88,3500
3502,2025,Lajatico,settlement,Eneolithic,-3000,-2300,10.726044910000001,43.477458830000003,A,0.100000000000000,F,Tabularium sito database,89,3501
3503,2026,Castagnolo,settlement,Eneolithic,-3000,-2300,10.356010110000000,43.675209140000000,A,0.100000000000000,F,Tabularium sito database,90,3502
3504,2027,Grotta del castello,cave,Eneolithic,-3000,-2300,10.386158330000001,43.787000780000000,A,0.100000000000000,F,Tabularium sito database,91,3503
3505,2029,Suese,settlement,Eneolithic,-3000,-2300,10.365322949999999,43.588826779999998,A,0.100000000000000,F,Tabularium sito database,93,3504
3506,2028,Paduletto di Coltano,settlement,Eneolithic,-3000,-2300,10.364126929999999,43.644378560000000,A,0.100000000000000,F,Tabularium sito database,92,3505
3507,2030,La Puzzolente,settlement,Late Eneolithic,-2600,-2300,10.363524860000000,43.555483709999997,A,0.100000000000000,F,Tabularium sito database,94,3506
3508,2031,Grotta del Leone,settlement,Neolithic,-5000,-3000,10.470687800000000,43.741251300000002,A,0.100000000000000,F,Tabularium sito database,95,3507
3509,2031,Grotta del Leone,settlement,Eneolithic,-3000,-2300,10.470687800000000,43.741251300000002,A,0.100000000000000,F,Tabularium sito database,95,3508
3510,2032,Podere Casanuova,settlement,Neolithic,-6000,-3000,10.715999999999999,43.707999999999998,A,0.100000000000000,F,Tabularium sito database,96,3509
3511,2032,Podere Casanuova,settlement,Eneolithic,-3000,-2300,10.715999999999999,43.707999999999998,A,0.100000000000000,F,Tabularium sito database,96,3510
3512,2033,La Padula,settlement,Neolithic,-5000,-3000,10.349489190000000,43.542124319999999,A,0.100000000000000,F,Tabularium sito database,97,3511
3513,2033,La Padula,settlement,Eneolithic,-3000,-2300,10.349489190000000,43.542124319999999,A,0.100000000000000,F,Tabularium sito database,97,3512
3514,2034,Podere Uliveto,settlement,Eneolithic,-3000,-2300,10.364670450000000,43.549247319999999,A,0.100000000000000,F,Tabularium sito database,98,3513
3515,2035,Riparo la Romita,settlement,Early Neolithic,-6000,-4200,10.468409160000000,43.745018969999997,A,0.100000000000000,F,Tabularium sito database,99,3514
3516,2035,Riparo la Romita,settlement,Middle Neolithic,-4200,-3500,10.468409160000000,43.745018969999997,A,0.100000000000000,F,Tabularium sito database,99,3515
3517,2035,Riparo la Romita,settlement,Late Neolithic,-3500,-3000,10.468409160000000,43.745018969999997,A,0.100000000000000,F,Tabularium sito database,99,3516
3518,2036,Poggio di Mezzo,settlement,Early Neolithic,-5000,-4200,10.468409160000000,43.736619779999998,A,0.001000000000000,E,Tabularium sito database,100,3517
3519,2036,Poggio di Mezzo,settlement,Middle Neolithic,-4200,-3500,10.468409160000000,43.736619779999998,A,0.001000000000000,E,Tabularium sito database,100,3518
3520,2036,Poggio di Mezzo,settlement,Late Neolithic,-3500,-3000,10.468409160000000,43.736619779999998,A,0.001000000000000,E,Tabularium sito database,100,3519
3521,2037,Poggio alle Conce,settlement,Eneolithic,-3000,-2300,10.829584029999999,43.664549790000002,A,0.100000000000000,F,Tabularium sito database,101,3520
3522,2038,Casa Bagni,settlement,Late Eneolithic,-2600,-2300,10.813755990000001,43.661725500000003,A,0.100000000000000,F,Tabularium sito database,102,3521
3523,2039,Lunghezzina,necropolis,Early Eneolithic (8 tombs),-3000,-2700,12.700045480000000,41.925042009999999,A,0.100000000000000,F,Tabularium sito database,103,3522
3524,2049,Piscina di Torre Spaccata,settlement,Late Eneolithic,-2600,-2300,12.582018850000001,41.852335689999997,A,0.600000000000000,C,Tabularium sito database,104,3523
3525,2050,Casale del Cavaliere,settlement,Late Eneolithic,-2600,-2300,12.661292449999999,41.923916599999998,A,0.800000000000000,C,Tabularium sito database,108,3524
3526,2051,Bandita San Pantaleo,tomb (5 individuals),Eneolithic,-3000,-2300,11.736623150000000,42.265187939999997,A,0.100000000000000,F,Tabularium sito database,109,3525
3527,2052,Maccarese sito E,settlement,Eneolithic,-3000,-2300,12.244928910000000,41.842668109999998,A,0.100000000000000,F,Tabularium sito database,110,3526
3528,2053,Maccarese sito H,settlement,Eneolithic,-3000,-2300,12.243280110000001,41.841520850000002,A,0.100000000000000,F,Tabularium sito database,111,3527
3529,2054,Maccarese sito K-L,settlement,Eneolithic,-3000,-2300,12.238584760000000,41.849044599999999,A,0.100000000000000,F,Tabularium sito database,112,3528
3530,7253,Luni Tre Erici,settlement,Eneolithic,-3000,-2300,11.939787519999999,42.226716410000002,A,0.001000000000000,E,"Fugazzola-Delpino et al 2004, 121",1171,3529
3531,2055,Palidoro,settlement,Eneolithic,-3000,-2300,12.189138229999999,41.935673379999997,A,0.030000000000000,E,Tabularium sito database,114,3530
3532,2056,Cecio,settlement,Eneolithic,-3000,-2300,12.180412920000000,41.960962219999999,A,0.100000000000000,F,Tabularium sito database,115,3531
3533,2057,Tufarelle,settlement,Early Neolithic,-5000,-4300,11.953086160000000,42.096509609999998,A,0.100000000000000,F,"Fugazzola Delpino et al. 2004, 108",1010,3532
3534,2058,Codata delle Macine,settlement,Late Eneolithic,-2600,-2300,11.874980381909999,42.122208406909998,A,0.100000000000000,C,Tabularium sito database,117,3533
3535,2059,Torrino Mezzocamino 1,settlement,Eneolithic,-3000,-2300,12.430023080000000,41.799304069999998,A,0.100000000000000,F,Tabularium sito database,119,3534
3536,2060,Tenuta Torrenova,settlement,Eneolithic,-3000,-2300,12.613536070000000,41.852157730000002,A,0.100000000000000,F,Tabularium sito database,122,3535
3537,2061,Cava di Selce,settlement,Eneolithic,-3000,-2300,12.480133060000000,41.783150960000000,A,0.010000000000000,E,Tabularium sito database,123,3536
3538,2062,Tenuta della Selcetta,settlement,Late Eneolithic,-2600,-2300,12.479708280000001,41.775874010000003,A,0.030000000000000,C,Tabularium sito database,125,3537
3539,2063,Monte della Muratella,necropolis (4 tombs),Eneolithic,-3000,-2300,12.391777890000000,41.825629470000003,A,0.100000000000000,F,Tabularium sito database,127,3538
3540,2064,Maccarese sito I,settlement,Eneolithic,-3000,-2300,12.242462010000001,41.845985910000003,A,0.100000000000000,F,Tabularium sito database,129,3539
3541,2065,Le Caprine,settlement,Late Neolithic,-3500,-3000,12.716170330000001,41.986125280000003,B,0.100000000000000,F,Tabularium sito database,130,3540
3542,2065,Le Caprine,settlement,Late Eneolithic,-2600,-2300,12.716170330000001,41.986125280000003,B,0.100000000000000,F,Tabularium sito database,130,3541
3543,2066,Ripa Maiale,settlement,Late Neolithic,-3500,-3000,11.866206960000000,42.184890940000003,B,0.100000000000000,F,Tabularium sito database,131,3542
3544,2066,Ripa Maiale,settlement,Eneolithic,-3000,-2300,11.866206960000000,42.184890940000003,B,0.100000000000000,F,Tabularium sito database,131,3543
3545,2067,Torre Crognola,settlement,Late Eneolithic,-2600,-2300,11.620669420000000,42.448309010000003,B,1.000000000000000,C,Tabularium sito database,132,3544
3546,2068,Casali di Porta Medaglia,settlement,Late Neolithic,-3500,-3000,12.522135940000000,41.761640790000001,A,1.000000000000000,C,Tabularium sito database,136,3545
3547,2069,Bufalereccia,settlement,Neolithic,-5000,-3000,11.893731380000000,42.213717060000000,B,0.100000000000000,F,Tabularium sito database,139,3546
3548,2069,Bufalereccia,settlement,Eneolithic,-3000,-2300,11.893731380000000,42.213717060000000,B,0.100000000000000,F,Tabularium sito database,139,3547
3549,2069,Bufalereccia,settlement,Bronze Age,-2300,-1000,11.893731380000000,42.213717060000000,B,0.100000000000000,F,Tabularium sito database,139,3548
3550,2070,Setteville,settlement,Late Neolithic,-3500,-3000,12.651969449999999,41.948933040000000,A,0.100000000000000,F,Tabularium sito database,140,3549
3551,2071,Poggio Olivatsro,settlement,Early Neolithic,-5000,-4200,11.686962790000001,42.448361890000001,A,0.600000000000000,E,Tabularium sito database,141,3550
3552,2071,Poggio Olivatsro,settlement,Middle Neolithic,-4200,-3500,11.686962790000001,42.448361890000001,A,0.600000000000000,E,Tabularium sito database,141,3551
3553,2072,Primi Archi,necropolis (6 individuals),Eneolithic,-3000,-2300,11.777817349999999,42.248290730000001,B,0.100000000000000,F,Tabularium sito database,143,3552
3554,2073,La Diga,settlement,Late Neolithic,-3500,-3000,11.630625410000000,42.439001189999999,B,0.100000000000000,F,Tabularium sito database,144,3553
3555,2073,La Diga,settlement,Late Neolithic,-3500,-3000,11.630625410000000,42.439001189999999,B,0.100000000000000,F,Tabularium sito database,144,3554
3556,2074,S. Gaudenzio,tomb (one individual),Eneolithic,-3000,-2300,12.615532340000000,41.856458930000002,B,0.100000000000000,F,Tabularium sito database,145,3555
3557,2075,Romanina,necropolis (43 individuals),Eneolithic,-3000,-2300,12.609184000000001,41.846255999999997,B,0.100000000000000,F,Tabularium sito database,147,3556
3558,2076,Ponte delle Sette Miglia,necropolis (13 tombs),Eneolithic,-3000,-2300,12.598792000000000,41.851495999999997,B,0.100000000000000,F,Tabularium sito database,148,3557
3559,2077,San Sebastiano,settlement (villa),Republican Period,-200,-30,12.495845597620001,42.329834620120003,A,0.200000000000000,E,"Verga 2006, p.37",1,3558
3560,2077,San Sebastiano,settlement (villa),Imperial Period,-30,500,12.495845597620001,42.329834620120003,A,0.200000000000000,E,"Verga 2006, p.37",1,3559
3561,2078,Festa,settlement,Republican Period,-250,-30,12.485257355900000,42.328090674419997,A,0.100000000000000,E,"Verga 2006, p.39",2,3560
3562,2078,Festa,settlement,Imperial Period,-30,300,12.485257355900000,42.328090674419997,A,0.100000000000000,E,"Verga 2006, p.39",2,3561
3563,2079,Foglia - I Monti,settlement,Republican Period,-400,-200,12.485444207220000,42.333851923589997,A,0.040000000000000,C,"Verga 2006, p.39",3,3562
3564,2080,Vocabolo San Sebastiano,settlement,Imperial Period,-30,500,12.480087802590001,42.329834620120003,A,0.060000000000000,E,"Verga 2006, p.39",4,3563
3565,2081,Foglia,settlement,Republican Period,-150,-30,12.476350776089999,42.337308673099997,A,0.030000000000000,E,"Verga 2006, p.40",5,3564
3566,2081,Foglia,settlement,Imperial Period,-30,300,12.476350776089999,42.337308673099997,A,0.030000000000000,E,"Verga 2006, p.40",5,3565
3567,2082,Torretta,settlement,Imperial Period,100,300,12.506215846130001,42.322952262990000,A,0.030000000000000,C,"Verga 2006, p.43",19,3566
3568,2083,Murella,settlement,Republicanl Period,-300,-30,12.501139718479999,42.322453992800000,A,0.050000000000000,E,"Verga 2006, p.43",20,3567
3569,2083,Murella,settlement,Imperial Period,-30,500,12.501139718479999,42.322453992800000,A,0.050000000000000,E,"Verga 2006, p.43",20,3568
3570,2084,Vocabolo Casa Cantoniera,settlement,Imperial Period,1,200,12.504814461200001,42.319697935759997,A,0.100000000000000,C,"Verga 2006, p.45",21,3569
3571,2085,Macchia Grande,settlement,Imperial Period,-30,500,12.497371550110000,42.312208311829998,A,0.050000000000000,E,"Verga 2006, p.45",24,3570
3572,2086,Grapignano,settlement,Imperial Period,-30,300,12.503599927590001,42.317315581370003,A,0.100000000000000,C,"Verga 2006, p.46",25,3571
3573,2087,Monte Comune,settlement,Republican Period,-150,-30,12.491392307720000,42.314045683190002,A,0.100000000000000,E,"Verga 2006, p.46",27,3572
3574,2087,Monte Comune,settlement,Imperial Period,-30,300,12.491392307720000,42.314045683190002,A,0.100000000000000,E,"Verga 2006, p.46",27,3573
3575,2088,Torretta,settlement,Republican Period,-300,-30,12.508240068819999,42.328028390640000,A,0.040000000000000,E,"Verga 2006, p.46",28,3574
3576,2088,Torretta,settlement,Imperial Period,-30,500,12.508240068819999,42.328028390640000,A,0.040000000000000,E,"Verga 2006, p.46",28,3575
3577,2089,Torretta,settlement,Republican Period,-100,-30,12.511167406229999,42.328620086510000,A,0.080000000000000,E,"Verga 2006, p.47",29,3576
3578,2089,Torretta,settlement,Imperial Period,-30,300,12.511167406229999,42.328620086510000,A,0.080000000000000,E,"Verga 2006, p.47",29,3577
3579,2090,Torretta,settlement,Imperial Period,200,500,12.512537649280000,42.320554337659999,A,0.100000000000000,C,"Verga 2006, p.47",30,3578
3580,2091,Ponte del Peccato,settlement,Archaic Period,-600,-500,12.517240074280000,42.319744648590003,A,0.050000000000000,E,"Verga 2006, p.47",31,3579
3581,2091,Ponte del Peccato,settlement,Republican Period,-500,-30,12.517240074280000,42.319744648590003,A,0.050000000000000,E,"Verga 2006, p.47",31,3580
3582,2091,Ponte del Peccato,settlement,Imperial Period,-30,500,12.517240074280000,42.319744648590003,A,0.050000000000000,E,"Verga 2006, p.47",31,3581
3583,2092,Ponte del Peccato,settlement,Imperial Period,-30,500,12.513222770800001,42.312457446929997,A,0.020000000000000,E,"Verga 2006, p.47",32,3582
3584,2093,Sacramento,settlement,Republican Period,-100,-30,12.516243533880001,42.309654677070000,A,0.200000000000000,E,"Verga 2006, p.48",33,3583
3585,2093,Sacramento,settlement,Imperial Period,-30,500,12.516243533880001,42.309654677070000,A,0.200000000000000,E,"Verga 2006, p.48",33,3584
3586,2094,Colli Orti,settlement,Archaic Period,-600,-500,12.521849073620000,42.304422839979999,A,0.050000000000000,E,"Verga 2006, p.48",34,3585
3587,2094,Colli Orti,settlement,Republican Period,-500,-30,12.521849073620000,42.304422839979999,A,0.050000000000000,E,"Verga 2006, p.48",34,3586
3588,2094,Colli Orti,settlement,Imperial Period,-30,500,12.521849073620000,42.304422839979999,A,0.050000000000000,E,"Verga 2006, p.48",34,3587
3589,2095,Colli Orti,settlement,Archaic Period,-600,-500,12.520572256239999,42.307007616630003,A,0.080000000000000,E,"Verga 2006, p.48",35,3588
3590,2095,Colli Orti,settlement,Imperial Period,-30,500,12.520572256239999,42.307007616630003,A,0.080000000000000,E,"Verga 2006, p.48",35,3589
3591,2096,Contrada Valle Strombone,settlement,Imperial Period,-30,300,12.520260837360000,42.333291369620000,A,0.050000000000000,C,"Verga 2006, p.49",36,3590
3592,2097,Contrada Valle Strombone,settlement,Imperial Period,-30,500,12.519077445640001,42.334101058690003,A,0.020000000000000,E,"Verga 2006, p.49",37,3591
3593,2098,Contrada Valle Strombone,settlement,Republican Period,-300,-30,12.516835229740000,42.334443619449999,A,0.040000000000000,E,"Verga 2006, p.49",38,3592
3594,2098,Contrada Valle Strombone,settlement,Republican Period,-30,300,12.516835229740000,42.334443619449999,A,0.040000000000000,E,"Verga 2006, p.49",38,3593
3595,2099,Grapignano,settlement,Late Bronze Age,-1300,-1000,12.507336954079999,42.312909004300003,A,0.020000000000000,C,"Verga 2006, p.49",39,3594
3596,2100,Sant'Anna,settlement,Republican Period,-100,-30,12.531214710100000,42.312640211549997,A,0.020000000000000,E,"Verga 2006, p.50",41,3595
3597,2100,Sant'Anna,settlement,Imperial Period,-30,500,12.531214710100000,42.312640211549997,A,0.020000000000000,E,"Verga 2006, p.50",41,3596
3598,2101,Monte Le Palme,settlement,Iron Age,-1000,-600,12.538180922220000,42.305808395800000,A,0.050000000000000,E,"Verga 2006, p.50",43,3597
3599,2101,Monte Le Palme,settlement,Archaic Period,-600,-400,12.538180922220000,42.305808395800000,A,0.050000000000000,E,"Verga 2006, p.50",43,3598
3600,2101,Monte Le Palme,settlement,Republican Period Period,-400,-30,12.538180922220000,42.305808395800000,A,0.050000000000000,E,"Verga 2006, p.50",43,3599
3601,2102,Monte Le Palme,settlement,Archaic Period,-600,-500,12.534753814649999,42.305069215739998,A,0.300000000000000,E,"Verga 2006, p.50",44,3600
3602,2102,Monte Le Palme,settlement,Post-Archaic Period,-500,-300,12.534753814649999,42.305069215739998,A,0.300000000000000,E,"Verga 2006, p.50",44,3601
3603,2102,Monte Le Palme,settlement,Republican Period,-300,-30,12.534753814649999,42.305069215739998,A,0.300000000000000,E,"Verga 2006, p.50",44,3602
3604,2103,Monte Le Palme,settlement,Imperial Period,-30,300,12.532849865999999,42.304307636280001,A,0.020000000000000,C,"Verga 2006, p.50",46,3603
3605,2104,Carrara,settlement,Imperial Period,-30,500,12.543377582070001,42.331097313759997,A,0.080000000000000,E,"Verga 2006, p.55",53,3604
3606,2105,Carrara,settlement,Archaic Period,-600,-500,12.547454272120000,42.333740442480000,A,0.200000000000000,E,"Verga 2006, p.56",54,3605
3607,2105,Carrara,settlement,Post-Archaic Period,-500,-300,12.547454272120000,42.333740442480000,A,0.200000000000000,E,"Verga 2006, p.56",54,3606
3608,2105,Carrara,settlement,Republican Period,-300,-30,12.547454272120000,42.333740442480000,A,0.200000000000000,E,"Verga 2006, p.56",54,3607
3609,2105,Carrara,settlement,Imperial Period,-30,300,12.547454272120000,42.333740442480000,A,0.200000000000000,E,"Verga 2006, p.56",54,3608
3610,2106,Carrara,settlement,Imperial Period,-30,500,12.542392008649999,42.330985316780001,A,0.010000000000000,E,"Verga 2006, p.56",55,3609
3611,2107,Carrara,settlement,Imperial Period,-30,500,12.535940982630001,42.333135658789999,A,0.100000000000000,E,"Verga 2006, p.56",56,3610
3612,2108,Ponte del Peccato,settlement,Iron Age,-1000,-600,12.514885550500001,42.314275367450001,A,0.040000000000000,E,"Verga 2006, p.56",57,3611
3613,2108,Ponte del Peccato,settlement,Archaic Period,-600,-500,12.514885550500001,42.314275367450001,A,0.040000000000000,E,"Verga 2006, p.56",57,3612
3614,2108,Ponte del Peccato,settlement,Post-Archaic Period,-500,-300,12.514885550500001,42.314275367450001,A,0.040000000000000,E,"Verga 2006, p.56",57,3613
3615,2108,Ponte del Peccato,settlement,Republican Period,-300,-30,12.514885550500001,42.314275367450001,A,0.040000000000000,E,"Verga 2006, p.56",57,3614
3616,2109,Fonte della Ficora,settlement,Imperial Period,-30,200,12.518648649010000,42.319449627899999,A,0.100000000000000,C,"Verga 2006, p.57",58,3615
3617,2110,Valle del Torrente l'Aia,settlement,Imperial Period,-30,200,12.521067783760000,42.314544160200001,A,0.020000000000000,C,"Verga 2006, p.57",59,3616
3618,2111,Contrada Valle Strombone,settlement,Imperial Period,-30,500,12.525704458710001,42.328431785649997,A,0.030000000000000,E,"Verga 2006, p.57",60,3617
3619,2112,Monte Le Palme,settlement,Archaic Period,-700,-500,12.538382516780000,42.305114014529998,A,0.020000000000000,E,"Verga 2006, p.61",68,3618
3620,2112,Monte Le Palme,settlement,Post-Archaic Period,-500,-300,12.538382516780000,42.305114014529998,A,0.020000000000000,E,"Verga 2006, p.61",68,3619
3621,2112,Monte Le Palme,settlement,Republican Period,-300,-30,12.538382516780000,42.305114014529998,A,0.020000000000000,E,"Verga 2006, p.61",68,3620
3622,2113,Seminario,settlement,Imperial Period,-30,500,12.524069302810000,42.300992525689999,A,0.050000000000000,E,"Verga 2006, p.61",69,3621
3623,2114,Scozzaticcio,settlement,Imperial Period,-30,500,12.510864858930001,42.299715760120002,A,0.070000000000000,E,"Verga 2006, p.62",70,3622
3624,2115,Colli Orti,settlement,Imperial Period,-30,500,12.510248875549999,42.299603763139999,A,0.100000000000000,E,"Verga 2006, p.62",71,3623
